Home Page,Webpage,Clicks
0,0,0
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,5
0,12,6
0,13,6
0,14,6
0,15,5
0,16,6
0,17,3
0,18,6
0,19,6
0,20,6
0,21,5
0,23,5
0,25,7
0,27,7
0,28,7
0,29,5
0,30,6
0,31,3
0,32,5
0,33,8
0,34,6
0,35,7
0,36,9
0,37,9
0,38,3
0,39,6
0,40,9
0,41,7
0,42,8
0,43,7
0,45,5
0,47,9
0,48,8
0,49,5
0,50,5
0,51,3
0,53,6
0,54,6
0,55,6
0,56,6
0,57,6
0,58,7
0,59,5
0,60,6
0,61,7
0,62,3
0,63,6
0,64,3
0,65,7
0,67,7
0,68,7
0,69,5
0,71,4
0,73,6
0,75,6
0,76,6
0,77,5
0,78,5
0,79,7
0,80,6
0,81,5
0,82,6
0,83,7
0,84,7
0,85,7
0,86,6
0,87,7
0,88,8
0,89,8
0,90,8
0,91,4
0,92,5
0,93,6
0,94,6
0,95,8
0,96,5
0,97,7
0,99,7
0,100,4
0,101,6
0,102,4
0,103,5
0,104,8
0,105,6
0,106,4
0,107,6
0,108,4
0,110,5
0,111,7
0,112,4
0,113,6
0,114,3
0,115,6
0,116,5
0,117,5
0,118,7
0,119,4
0,120,11
0,121,2
0,122,3
0,123,3
0,124,2
0,125,3
0,126,3
0,127,2
0,128,2
0,129,3
0,130,6
0,131,6
0,132,4
0,133,4
0,134,5
0,135,5
0,136,5
0,137,6
0,138,7
0,139,7
0,140,6
0,141,5
0,142,3
0,143,3
0,144,2
0,145,2
0,146,3
0,147,2
0,148,3
0,149,3
0,150,6
0,151,4
0,152,4
0,153,5
0,154,5
0,155,5
0,156,5
0,157,5
0,158,5
0,159,5
0,160,5
0,161,5
0,162,6
0,163,6
0,164,5
0,165,4
0,166,7
0,167,6
0,168,7
0,169,6
0,170,7
0,171,5
0,172,5
0,173,5
0,174,3
0,175,3
0,176,2
0,177,2
0,178,4
0,179,2
0,180,4
0,181,8
0,182,6
0,183,5
0,184,5
0,185,9
0,186,9
0,187,6
0,188,9
0,189,9
0,190,6
0,191,6
0,193,6
0,195,6
0,196,7
0,197,5
